cleaned_source,cleaned_target
who?,START_ को? _END
hide.,START_ लुकाउनुहोस्। _END
hide.,START_ लुक। _END
stay.,START_ बस्नुहोस्। _END
hello!,START_ नमस्ते! _END
smile.,START_ मुस्कान। _END
attack!,START_ आक्रमण! _END
go slow.,START_ बिस्तारै जाउ। _END
im tom.,START_ म टम हुँ। _END
find tom.,START_ टमलाई खोज। _END
i am tom.,START_ म टम हुँ। _END
i danced.,START_ मैले नाचे। _END
who am i?,START_ म को हु? _END
can i eat?,START_ के म खान सक्छु ? _END
he is old.,START_ उहाँ वृद्ध हुनुहुन्छ। _END
i am okay.,START_ म ठिक छु। _END
i am sick.,START_ म बिरामी छु। _END
i am sure.,START_ म पक्का छु। _END
i am tall.,START_ म अग्लो छु। _END
i am well.,START_ म कुशल छु। _END
im crazy.,START_ म पागल छु। _END
im crazy.,START_ म पागल हुँ। _END
im sorry.,START_ मलाई माफ गर्नुहोस्। _END
is it bad?,START_ यो खराब छ? _END
is it bad?,START_ यो नराम्रो हो? _END
may i eat?,START_ के म खान सक्छु ? _END
who is he?,START_ ऊ को हो? _END
good night.,START_ शुभ रात्री। _END
he is lazy.,START_ ऊ अल्छी छ । _END
he is nice.,START_ उहाँ राम्रो हुनुहुन्छ। _END
he is nice.,START_ उ राम्रो छ। _END
he is poor.,START_ ऊ गरिब छ। _END
he is sick.,START_ उहाँ बिरामी हुनुहुन्छ। _END
he is sick.,START_ ऊ बिरामी छ। _END
how lovely!,START_ कति प्यारो! _END
i am a boy.,START_ म केटा हुँ। _END
i am a man.,START_ म एक मानिस हुँ। _END
i am happy.,START_ म खुशी छु। _END
i am human.,START_ म मानव हुँ। _END
i am human.,START_ म मान्छे हुँ। _END
i am short.,START_ म होचो छु। _END
i am smart.,START_ म स्मार्ट छु। _END
i eat fish.,START_ म माछा खान्छु। _END
i eat here.,START_ म यहाँ खान्छु। _END
i eat meat.,START_ म मासु खान्छु। _END
i eat pork.,START_ म सुँगुरको मासु खान्छु। _END
