text,Sentiment
RT @JohnLeguizamo: #trump not draining swamp but our taxpayer dollars on his trips to advertise his properties! @realDonaldTrump https://t.co/gFBvUkMX9z,0
ICYMI: Hackers Rig FM Radio Stations To Play Anti-Trump Song https://t.co/fV1J4HbXAt https://t.co/7kwDnuBUUd,0
Trump protests: LGBTQ rally in New York https://t.co/LfHRD9Ft5I by #BBCWorld via @c0nvey,1
"""Hi I'm Piers Morgan. David Beckham is awful but Donald Trump is ok.""",0
RT @GlennFranco68: Tech Firm Suing BuzzFeed for Publishing Unverified Trump Dossier  https://t.co/YvkaKaBdrJ https://t.co/1KLQSJfaKg,0
"Alec Baldwin returns as Trump on SNL, where an evil Bannon is actually president https://t.co/RfndLqBLWV @warkentin @jrisco @sopitas",0
REPUBLICANS- YOU OWN YOUR TRUMP!!,0
RT @AnsarAAbbasi: For #Trump #Obama #Bush ..... of this world. #US https://t.co/IrIzXPEm1f,0
A federal appeals court has refused to immediately reinstate Trump's travel ban on people... https://t.co/ncMHPwJYJA by #AP via @c0nvey,0
Court denies Trump request to immediately restore travel ban https://t.co/NNdNquqZLo,0
RT @NoahCRothman: Trump's day began with attacking a federal judge's allegiance to the country and ended by morally equating America with revanchist Russia.,0
If Putin or the Russians did anything in the shadows to disrupt the election why would they have openly supported Trump? #commonsense,0
"RT @Crux: By @JohnLAllenJr, on Roman posters, anti-papal blowback, and parallels between Pope Francis and Donald Trump. https://t.co/annWkNc9lW",0
RT @AllenWest: WHOA: Look what we found about the judge who BLOCKED Trump's travel ban https://t.co/QqJO8FyIAF https://t.co/j79LAuuKaQ,0
"Trump fumes, vows to act, after judge lifts travel ban via @politicususa https://t.co/0pVyDBy7cN",0
"Opinion: The Newest Reality Show, The Trump Presidency https://t.co/PmwMtueRQJ https://t.co/2NK4yEjonV",0
"New Orleans trends now: Trump, Super Bowl, Hall of Fame, NOLA, Saints. https://t.co/DvB9j7Ys20",1
"RT @MMFlint: Thank you, So-Called President Trump! I've been struggling for 2 weeks over what to call you, and your tweet here g https://t.co/ZLpZLlnHV8",0
RT @souamesfarah: Gotta be today's best cartoon #Trump #travelban #Democracy #Constitution https://t.co/uQuRfJ1ORb,1
"Crowdfunding for public-interest lawsuits has come to the US, just in time for Trumps presidency https://t.co/UQBnBTUmLf",0
RT @DonyaMarie: @camper_bruce @pepsi @ladygaga let's not forget how Pepsi put Trump supporters down,0
RT @latimes: Trump is targeting up to 8 million people for deportation https://t.co/1agjm8wYwO,0
"@IanHartley_ We could open a pop up shop, an exchange of trump  memes &amp; a distribution center for new ones. Make sure he sees how we feel ?!",1
"Trump doubles down on 'respect' for Putin by saying US has 'killers'

@realDonaldTrump is not a leader! Sad, Sad, Sad https://t.co/bEh7v8nZ6n",0
"RT @kristinrawls: There is nothing more disingenuous than the shock we're seeing in some corners of the left that Trump is, after all, gonna be a warmonger.",0
"Fresno trends now: Justice Department, Iran, Berkeley, Trump. https://t.co/Cb5p4uhrgL",1
RT @AaronBlake: Constitutional crisis? What happens if Trump decides to ignore a judge's ruling. https://t.co/krezo0T1H9 https://t.co/HahxJX3Vna,0
"RT @PolitiBunny: Repeat after me:



If I wouldn't accept this from a Democrat I shouldn't accept it from Trump.",1
Federal appeals court denies President Trump's request to immediately restore travelban. https://t.co/gIcsKFAYFk https://t.co/6HkIoOcxxU,0
RT @markfollman: UPDATE: The misleading info on the mosque shooter was also spread by Donald Trump Jr. via @BretBaier's Fox News sho https://t.co/Bh6dJrpHNq,0
"RT @AynRandPaulRyan: What was that about government waste again, Trump? #TheResistance https://t.co/VsKGjVn7Mo",0
"RT @mikandynothem: <U+2714> RETWEET<U+2714> if you are happy with President Trump and his Administration's performance so far!

Kicking butt and tak https://t.co/nCUmiIDAqu",1
"If the United States' national security was really of concern, 'they' would have stopped Trump from tweeting eons ago.",0
RT @NourzorguiBBC: US #appeals #court #refuses #Department_of_Justice's emergency appeal to reinstate President Trump's #travel_ban,0
RT @souamesfarah: Gotta be today's best cartoon #Trump #travelban #Democracy #Constitution https://t.co/uQuRfJ1ORb,1
RT @JoyAnnReid: Remember when Trump says he knows more than the generals? He took himself seriously AND literally. https://t.co/tV7OgJnZJC,0
"RT @EliotHiggins: The question is now how much time, energy, and political good will the Trump WH will expend on trying to get the #MuslimBan reinstated.",1
"RT @ChiTownIndie: Yes sir, Mr Trump,

We, The People

Are THE great threat

to Democracy.



All 80 Million of us

We are already

Completel https://t.co/sHqAU2Sc69",1
RT @PalmerReport: RETWEET THIS if you think more people should stand up to Trump's pet nazi Steve Bannon: https://t.co/TAOp9kssSo,0
RT @jonlovett: How about get worked up about the fact that trips to Trump properties generate income for the president and kids di https://t.co/HIh7W10Ean,1
"RT @jeremyscahill: Takeaway from Trump is not that he is wrong about US engaging in mass killing. It is that he likes it and views it as acceptable, preferable",1
Donald Trump's most bone-chilling tweet https://t.co/x4gzdyxT9s,0
RT @Impeach_D_Trump: Please Follow us on FACEBOOK for all the latest on our Illegitimate President Trump -  https://t.co/sjFtlwYstt,1
"RT @queennn94: Kristen Stewart taking down Donald Trump and the homophobes at one go.



She has saved 2017. Play this at my funeral. https://t.co/ywlzO18FaT",0
"Revolt Against Trump? Federal Workers Hold Secret Meetings, Use Encryption To Express Dissent https://t.co/dOqQl5TWJy",0
@realDonaldTrump - TWICE A LOSER? STOP THE BAN!!! UNCONSTITUTIONAL!! https://t.co/zvV5Cgy2iF,0
"Seattle trends now: Trump, Super Bowl, Kenny Easley, Hall of Fame, Judge Robart. https://t.co/rs1pjlKOkI",1
"RT @JewsChooseTrump: Pro-Trump Rally at Trump Tower, NYC

Sunday Feb 5

12 Noon

Many Groups Participating

Please Retweet https://t.co/M3208QTsyw",1
RT @YuriOnMemes: RT this if you're GAY or hate TRUMP or would DIE for YURI ON ICE or ALL OF THE ABOVE,0
"Toronto trends now: Toronto, Trump, Islamophobia, Iran, Conservative. https://t.co/ZQ6y2zvSeq",0
RT @asamjulian: Experts: Social media giants fight Trumps anti-terror plan while providing platform for terrorists |  https://t.co/l4tvYf4xwu,1
"RT @_FmTheGreat: White ppl heard ""build a wall"" and aint give two fucks about anything else trump said. Now look, yall jobless, taxe https://t.co/dybLPhppxG",0
RT @cnnbrk: A federal appeals court denied the US government's initial request to resume President Donald Trump's travel ban. https://t.co/gB70irt1AX,0
"RT @PsychicDogTalk4: Would war with #Iran be more or less costly to #AmericaFirst than #Iraq war was?



@realDonaldTrump #sanctions #Russia #Syria #Putin #Trump",0
RT @bmangh: Female MPs will boycott if Donald Trump addresses Houses of Parliament https://t.co/UshzLDyrZc,0
"RT @Krisplashed: In response to President Trump's travel ban, Iran has barred the United States wrestling team from the World Cup https://t.co/5XNk6Dmfp6",0
RT @seattletimes: Washington judge who stalled Trump #immigrationban is highly regarded GOP appointee: https://t.co/nyQ1kafE0n https://t.co/BqgjWit4Zh,0
RT @FoxNews: Appeals court denies Trump request to immediately reinstate travel ban https://t.co/LwVm6iKuTK,0
"RT @crubeiz: Why is ""SNL goes after Trump again"" trending?  SNL has been doing political sketches  for the past 40 years and you're just noticing?",0
